sample_id,text_length,regret_factor,emotion_joy,emotion_anger,emotion_surprise,emotion_disgust,emotion_sadness,emotion_shame,emotion_fear,bentham_intensity,bentham_duration,bentham_certainty,bentham_propinquity,surd_selection,surd_uncertainty,surd_risk,surd_decision
2560,500,0.4,0.05,0.15,0.2,0.05,0.3,0.1,0.15,0.6,0.3,0.7,0.9,0.4,0.7,0.5,0.6
2561,500,0.3,0.05,0.15,0.2,0.1,0.25,0.1,0.15,0.6,0.4,0.3,0.8,0.4,0.7,0.6,0.8
2562,500,0.2,0.1,0.05,0.25,0.05,0.3,0.15,0.1,0.6,0.8,0.7,0.9,0.4,0.5,0.6,0.7
2563,500,0.6,0.05,0.1,0.15,0.1,0.15,0.2,0.25,0.7,0.3,0.8,0.9,0.7,0.4,0.3,0.6
2564,500,0.4,0.05,0.1,0.15,0.0,0.2,0.3,0.2,0.6,0.7,0.8,0.9,0.8,0.4,0.3,0.6
2565,500,0.4,0.15,0.05,0.2,0.05,0.3,0.1,0.15,0.7,0.8,0.5,0.6,0.8,0.7,0.6,0.9
2566,500,0.65,0.1,0.05,0.25,0.05,0.2,0.15,0.2,0.4,0.3,0.7,0.9,0.6,0.4,0.5,0.7
2567,500,0.3,0.05,0.05,0.15,0.1,0.25,0.2,0.2,0.7,0.8,0.6,0.9,0.4,0.6,0.7,0.8
2568,500,0.3,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.6,0.7,0.5,0.8,0.4,0.7,0.6,0.8
2569,500,0.65,0.05,0.08,0.35,0.02,0.25,0.15,0.1,0.75,0.85,0.6,0.9,0.7,0.85,0.8,0.9
2570,500,0.3,0.15,0.2,0.25,0.1,0.15,0.1,0.05,0.6,0.8,0.4,0.9,0.7,0.8,0.7,0.9
2571,500,0.3,0.05,0.1,0.15,0.05,0.25,0.2,0.2,0.7,0.8,0.9,0.9,0.4,0.3,0.6,0.7
2572,500,0.7,0.05,0.08,0.35,0.07,0.2,0.1,0.15,0.8,0.6,0.9,0.7,0.3,0.6,0.9,0.8
2573,500,0.25,0.3,0.15,0.2,0.1,0.15,0.05,0.05,0.4,0.7,0.6,0.8,0.6,0.7,0.4,0.8
2574,500,0.4,0.3,0.2,0.15,0.1,0.1,0.05,0.1,0.6,0.3,0.4,0.8,0.7,0.8,0.4,0.5
2575,500,0.3,0.15,0.2,0.05,0.1,0.2,0.2,0.1,0.4,0.7,0.6,0.5,0.6,0.4,0.3,0.5
2576,364,0.3,0.4,0.1,0.15,0.15,0.05,0.1,0.05,0.4,0.6,0.5,0.8,0.3,0.7,0.4,0.5
2577,500,0.3,0.15,0.1,0.2,0.05,0.25,0.15,0.1,0.6,0.7,0.8,0.9,0.7,0.5,0.6,0.4
2578,500,0.6,0.1,0.05,0.15,0.2,0.25,0.15,0.1,0.4,0.7,0.8,0.9,0.7,0.8,0.5,0.6
2579,500,0.4,0.05,0.1,0.25,0.05,0.2,0.2,0.15,0.6,0.4,0.7,0.8,0.6,0.4,0.7,0.5
2580,500,0.3,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.6,0.4,0.8,0.9,0.4,0.5,0.3,0.7
2581,500,0.2,0.05,0.0,0.15,0.0,0.2,0.3,0.3,0.7,0.4,0.8,0.9,0.6,0.4,0.7,0.8
2582,500,0.7,0.1,0.15,0.25,0.05,0.2,0.15,0.1,0.4,0.8,0.3,0.9,0.6,0.8,0.7,0.8
2583,500,0.3,0.05,0.1,0.15,0.05,0.25,0.25,0.15,0.6,0.8,0.7,0.9,0.7,0.4,0.6,0.8
2584,500,0.4,0.05,0.05,0.15,0.1,0.3,0.2,0.15,0.6,0.3,0.8,0.9,0.7,0.3,0.4,0.8
2585,500,0.75,0.05,0.15,0.25,0.0,0.35,0.0,0.2,0.6,0.8,0.7,0.4,0.4,0.6,0.7,0.8
2586,464,0.3,0.05,0.1,0.25,0.15,0.25,0.15,0.05,0.4,0.8,0.9,0.9,0.2,0.7,0.6,0.5
2587,500,0.6,0.05,0.1,0.2,0.05,0.3,0.1,0.2,0.4,0.7,0.8,0.9,0.7,0.4,0.6,0.8
2588,500,0.3,0.05,0.15,0.08,0.02,0.45,0.1,0.15,0.8,0.9,0.7,0.9,0.2,0.4,0.6,0.8
2589,500,0.3,0.05,0.1,0.15,0.1,0.2,0.25,0.15,0.6,0.4,0.5,0.8,0.4,0.7,0.5,0.3
2590,500,0.3,0.05,0.08,0.22,0.05,0.25,0.2,0.15,0.7,0.4,0.3,0.8,0.6,0.8,0.7,0.75
2591,500,0.75,0.1,0.05,0.15,0.05,0.3,0.15,0.2,0.4,0.7,0.3,0.8,0.6,0.7,0.5,0.8
2592,500,0.4,0.05,0.1,0.2,0.1,0.25,0.15,0.15,0.3,0.4,0.5,0.8,0.6,0.7,0.4,0.5
2593,500,0.3,0.05,0.1,0.15,0.05,0.25,0.2,0.2,0.7,0.8,0.6,0.9,0.4,0.5,0.7,0.8
2594,500,0.1,0.05,0.1,0.15,0.1,0.2,0.3,0.1,0.6,0.7,0.8,0.9,0.7,0.3,0.4,0.6
2595,500,0.3,0.05,0.02,0.15,0.08,0.2,0.2,0.3,0.7,0.4,0.8,0.9,0.2,0.6,0.7,0.5
2596,500,0.3,0.15,0.05,0.1,0.05,0.2,0.25,0.2,0.6,0.4,0.8,0.9,0.7,0.4,0.5,0.6
2597,500,0.3,0.05,0.02,0.15,0.08,0.35,0.2,0.15,0.7,0.8,0.6,0.9,0.2,0.6,0.8,0.7
2598,500,0.4,0.15,0.1,0.2,0.05,0.25,0.15,0.1,0.6,0.7,0.8,0.9,0.7,0.4,0.5,0.6
2599,500,0.4,0.05,0.1,0.2,0.05,0.3,0.2,0.1,0.6,0.8,0.7,0.9,0.6,0.7,0.8,0.9
2600,500,0.7,0.05,0.02,0.15,0.08,0.35,0.15,0.2,0.8,0.7,0.6,0.9,0.6,0.7,0.8,0.9
2601,500,0.3,0.1,0.05,0.15,0.05,0.35,0.2,0.1,0.4,0.8,0.7,0.6,0.2,0.4,0.3,0.4
2602,500,0.3,0.1,0.15,0.25,0.05,0.2,0.15,0.1,0.4,0.7,0.6,0.9,0.7,0.6,0.5,0.7
2603,500,0.7,0.05,0.1,0.15,0.2,0.25,0.15,0.1,0.6,0.8,0.9,0.7,0.3,0.6,0.8,0.7
2604,500,0.7,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.6,0.4,0.7,0.9,0.8,0.4,0.7,0.8
2605,500,0.75,0.05,0.02,0.25,0.08,0.28,0.17,0.15,0.8,0.6,0.7,0.9,0.2,0.7,0.8,0.6
2606,500,0.4,0.15,0.1,0.25,0.1,0.2,0.1,0.1,0.6,0.7,0.4,0.9,1.0,0.7,0.6,0.8
2607,269,0.4,0.05,0.02,0.15,0.08,0.2,0.3,0.2,0.6,0.3,0.4,0.8,0.7,0.5,0.4,0.3
2608,500,0.3,0.15,0.2,0.05,0.1,0.2,0.2,0.1,0.4,0.3,0.7,0.9,0.4,0.3,0.4,0.5
2609,500,0.2,0.15,0.1,0.2,0.05,0.3,0.15,0.05,0.4,0.7,0.8,0.9,0.3,0.4,0.5,0.3
2610,500,0.3,0.2,0.15,0.1,0.05,0.3,0.15,0.05,0.4,0.6,0.7,0.8,0.6,0.4,0.3,0.5
2611,500,0.25,0.05,0.02,0.08,0.05,0.15,0.35,0.3,0.75,0.6,0.45,0.85,0.65,0.4,0.8,0.7
2612,500,0.1,0.05,0.1,0.2,0.15,0.2,0.15,0.15,0.7,0.6,0.8,0.9,0.8,0.7,0.6,0.8
2613,500,0.65,0.1,0.05,0.2,0.15,0.2,0.15,0.15,0.4,0.3,0.6,0.9,0.7,0.8,0.6,0.5
2614,500,0.3,0.05,0.1,0.15,0.2,0.2,0.15,0.15,0.4,0.3,0.7,0.8,0.8,0.4,0.2,0.3
2615,466,0.65,0.05,0.1,0.15,0.1,0.3,0.2,0.1,0.4,0.3,0.7,0.9,0.8,0.4,0.3,0.5
2616,500,0.6,0.05,0.1,0.25,0.15,0.15,0.15,0.15,0.8,0.6,0.7,0.9,0.7,0.4,0.8,0.9
2617,500,0.7,0.05,0.1,0.2,0.05,0.3,0.2,0.1,0.8,0.9,0.7,0.9,0.3,0.6,0.8,0.9
2618,500,0.1,0.05,0.1,0.15,0.1,0.4,0.1,0.1,0.3,0.5,0.8,0.9,0.3,0.4,0.2,0.4
2619,500,0.15,0.05,0.02,0.15,0.2,0.25,0.23,0.1,0.7,0.6,0.9,0.9,0.7,0.4,0.5,0.8
2620,500,0.2,0.1,0.05,0.2,0.1,0.15,0.2,0.2,0.6,0.4,0.5,0.8,0.7,0.6,0.7,0.8
2621,500,0.3,0.05,0.1,0.25,0.05,0.3,0.15,0.1,0.7,0.8,0.6,0.9,0.3,0.7,0.6,0.8
2622,500,0.4,0.0,0.05,0.25,0.1,0.3,0.15,0.15,0.8,0.9,0.7,0.6,0.3,0.8,0.7,0.9
2623,500,0.3,0.05,0.1,0.15,0.05,0.25,0.2,0.2,0.7,0.8,0.6,0.9,0.4,0.6,0.7,0.8
2624,500,0.15,0.05,0.08,0.25,0.07,0.22,0.18,0.15,0.7,0.8,0.85,0.9,0.4,0.3,0.65,0.75
2625,500,0.7,0.05,0.1,0.2,0.1,0.25,0.15,0.15,0.6,0.4,0.8,0.9,0.6,0.4,0.3,0.5
2626,500,0.4,0.05,0.1,0.2,0.15,0.3,0.1,0.1,0.6,0.7,0.5,0.8,0.3,0.7,0.5,0.6
2627,500,0.65,0.15,0.1,0.2,0.05,0.3,0.05,0.15,0.7,0.8,0.4,0.9,0.6,0.8,0.7,0.8
2628,500,0.3,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.4,0.8,0.6,0.9,0.7,0.6,0.8,0.9
2629,500,0.4,0.15,0.1,0.3,0.05,0.2,0.1,0.1,0.4,0.7,0.6,0.8,0.7,0.5,0.3,0.4
2630,237,0.4,0.1,0.15,0.2,0.05,0.35,0.05,0.1,0.45,0.6,0.8,0.9,0.7,0.4,0.3,0.5
2631,500,0.4,0.1,0.15,0.2,0.1,0.2,0.15,0.1,0.6,0.3,0.4,0.8,0.7,0.6,0.5,0.4
2632,500,0.1,0.15,0.05,0.1,0.2,0.15,0.2,0.15,0.7,0.6,0.8,0.9,0.8,0.3,0.4,0.7
2633,500,0.3,0.1,0.05,0.15,0.1,0.2,0.25,0.15,0.4,0.3,0.8,0.9,0.6,0.4,0.3,0.5
2634,500,0.3,0.1,0.05,0.2,0.1,0.15,0.25,0.15,0.4,0.7,0.6,0.8,0.7,0.5,0.6,0.7
2635,500,0.4,0.05,0.15,0.2,0.05,0.3,0.1,0.15,0.6,0.8,0.7,0.9,0.4,0.6,0.5,0.7
2636,500,0.4,0.1,0.15,0.2,0.05,0.2,0.2,0.1,0.3,0.2,0.6,0.8,0.7,0.5,0.4,0.6
2637,500,0.2,0.1,0.05,0.15,0.1,0.2,0.3,0.1,0.4,0.7,0.8,0.9,0.3,0.6,0.5,0.7
2638,500,0.25,0.05,0.1,0.15,0.0,0.2,0.2,0.3,0.6,0.7,0.8,0.9,0.6,0.3,0.4,0.5
2639,500,0.15,0.1,0.05,0.15,0.2,0.2,0.2,0.1,0.4,0.3,0.7,0.8,0.8,0.3,0.4,0.6
2640,500,0.2,0.1,0.15,0.05,0.05,0.2,0.25,0.2,0.4,0.3,0.8,0.9,0.7,0.3,0.2,0.4
2641,500,0.4,0.05,0.1,0.15,0.1,0.3,0.1,0.2,0.4,0.7,0.6,0.3,0.3,0.8,0.4,0.5
2642,500,0.4,0.1,0.05,0.15,0.1,0.2,0.25,0.15,0.4,0.6,0.8,0.7,0.8,0.3,0.4,0.6
2643,500,0.4,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.3,0.6,0.4,0.7,0.4,0.7,0.5,0.6
2644,500,0.2,0.3,0.15,0.2,0.05,0.15,0.05,0.1,0.6,0.8,0.7,0.9,0.8,0.6,0.5,0.9
2645,500,0.4,0.15,0.1,0.2,0.15,0.25,0.1,0.05,0.6,0.3,0.8,0.9,0.7,0.4,0.5,0.8
2646,500,0.2,0.05,0.15,0.2,0.1,0.3,0.1,0.1,0.4,0.6,0.3,0.8,0.4,0.7,0.5,0.6
2647,500,0.4,0.15,0.05,0.1,0.05,0.35,0.15,0.15,0.7,0.8,0.9,0.9,0.6,0.3,0.4,0.8
2648,500,0.4,0.1,0.15,0.12,0.05,0.35,0.08,0.15,0.6,0.8,0.7,0.5,0.7,0.6,0.4,0.8
2649,500,0.4,0.05,0.15,0.25,0.05,0.25,0.1,0.15,0.6,0.8,0.4,0.9,0.7,0.8,0.75,0.85
2650,500,0.65,0.05,0.08,0.35,0.12,0.15,0.15,0.1,0.75,0.85,0.9,0.95,0.4,0.7,0.85,0.8
2651,500,0.3,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.6,0.7,0.8,0.9,0.4,0.7,0.8,0.7
2652,500,0.15,0.3,0.15,0.1,0.05,0.1,0.2,0.1,0.4,0.3,0.6,0.7,0.6,0.4,0.3,0.5
2653,500,0.3,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.7,0.6,0.8,0.9,0.4,0.6,0.7,0.8
2654,500,0.3,0.05,0.1,0.25,0.1,0.2,0.15,0.15,0.4,0.7,0.8,0.6,0.4,0.6,0.5,0.3
2655,500,0.75,0.05,0.08,0.15,0.07,0.35,0.1,0.2,0.65,0.4,0.3,0.85,0.6,0.75,0.45,0.8
2656,317,0.7,0.05,0.08,0.15,0.02,0.45,0.05,0.2,0.8,0.9,0.6,0.9,0.7,0.4,0.6,0.9
2657,500,0.3,0.05,0.1,0.2,0.05,0.3,0.15,0.15,0.6,0.7,0.4,0.8,0.6,0.8,0.7,0.8
2658,500,0.35,0.05,0.03,0.12,0.08,0.25,0.27,0.2,0.65,0.75,0.85,0.9,0.7,0.3,0.45,0.6
2659,500,0.6,0.05,0.1,0.15,0.05,0.25,0.25,0.15,0.7,0.5,0.3,0.8,0.4,0.7,0.5,0.6
2660,500,0.1,0.3,0.05,0.1,0.05,0.15,0.2,0.15,0.7,0.6,0.8,0.9,0.8,0.3,0.4,0.7
2661,500,0.2,0.15,0.2,0.05,0.1,0.2,0.2,0.1,0.3,0.4,0.7,0.8,0.6,0.4,0.3,0.4
2662,500,0.3,0.1,0.05,0.15,0.1,0.2,0.2,0.2,0.7,0.9,0.8,0.9,0.8,0.4,0.5,0.9
2663,500,0.1,0.4,0.3,0.05,0.05,0.15,0.0,0.05,0.7,0.8,0.6,0.9,0.8,0.4,0.3,0.7
2664,500,0.7,0.05,0.15,0.2,0.05,0.3,0.1,0.15,0.8,0.9,0.9,0.9,0.2,0.4,0.8,0.9
2665,500,0.15,0.0,0.05,0.3,0.15,0.1,0.2,0.2,0.7,0.4,0.8,0.9,0.3,0.4,0.8,0.7
2666,500,0.15,0.1,0.05,0.15,0.05,0.3,0.2,0.15,0.6,0.8,0.7,0.9,0.8,0.4,0.5,0.7
2667,500,0.7,0.05,0.02,0.15,0.08,0.35,0.2,0.15,0.65,0.8,0.9,0.85,0.6,0.3,0.7,0.8
2668,500,0.7,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.65,0.8,0.6,0.4,0.4,0.6,0.7,0.5
2669,500,0.4,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.6,0.7,0.8,0.9,0.4,0.6,0.5,0.7
2670,500,0.2,0.3,0.2,0.15,0.05,0.2,0.05,0.05,0.4,0.8,0.7,0.9,0.3,0.6,0.4,0.5
2671,500,0.3,0.02,0.03,0.25,0.05,0.3,0.15,0.2,0.8,0.9,0.85,0.7,0.6,0.4,0.3,0.7
2672,500,0.4,0.2,0.15,0.1,0.05,0.2,0.15,0.15,0.4,0.3,0.6,0.8,0.7,0.4,0.5,0.6
2673,500,0.65,0.15,0.05,0.2,0.1,0.15,0.2,0.15,0.7,0.4,0.8,0.9,0.6,0.4,0.7,0.8
2674,500,0.7,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.7,0.4,0.8,0.9,0.6,0.4,0.5,0.8
2675,500,0.3,0.05,0.15,0.12,0.08,0.25,0.25,0.1,0.65,0.8,0.7,0.9,0.4,0.7,0.6,0.8
2676,500,0.4,0.05,0.1,0.2,0.05,0.3,0.15,0.15,0.6,0.8,0.7,0.9,0.3,0.6,0.5,0.7
2677,419,0.75,0.1,0.05,0.25,0.1,0.3,0.1,0.1,0.6,0.4,0.3,0.8,0.6,0.8,0.7,0.5
2678,500,0.3,0.05,0.1,0.4,0.15,0.1,0.1,0.1,0.4,0.2,0.5,0.9,0.6,0.7,0.5,0.4
2679,500,0.3,0.05,0.1,0.25,0.1,0.2,0.15,0.15,0.4,0.3,0.6,0.9,0.4,0.7,0.5,0.6
2680,500,0.6,0.2,0.15,0.2,0.05,0.15,0.1,0.15,0.8,0.4,0.3,0.9,0.7,0.8,0.75,0.85
2681,500,0.3,0.1,0.15,0.05,0.05,0.25,0.2,0.2,0.4,0.6,0.8,0.9,0.7,0.3,0.4,0.6
2682,500,0.3,0.1,0.05,0.15,0.1,0.25,0.2,0.15,0.4,0.3,0.5,0.8,0.6,0.7,0.4,0.3
2683,500,0.4,0.05,0.15,0.1,0.05,0.25,0.2,0.2,0.4,0.7,0.6,0.8,0.7,0.4,0.5,0.6
2684,500,0.3,0.05,0.1,0.35,0.15,0.1,0.15,0.1,0.4,0.7,0.3,0.9,0.6,0.8,0.5,0.7
2685,500,0.1,0.1,0.15,0.05,0.05,0.2,0.25,0.2,0.4,0.7,0.8,0.9,0.6,0.3,0.4,0.5
2686,500,0.2,0.0,0.05,0.35,0.1,0.15,0.25,0.1,0.7,0.8,0.85,0.9,0.3,0.6,0.8,0.7
2687,500,0.3,0.05,0.1,0.2,0.15,0.2,0.15,0.15,0.6,0.4,0.8,0.9,0.3,0.6,0.4,0.5
2688,500,0.3,0.1,0.2,0.25,0.05,0.25,0.1,0.05,0.7,0.8,0.9,0.9,0.2,0.4,0.7,0.8
2689,500,0.4,0.1,0.15,0.2,0.25,0.15,0.05,0.1,0.3,0.7,0.8,0.9,0.3,0.4,0.2,0.5
2690,500,0.6,0.05,0.05,0.15,0.1,0.2,0.25,0.2,0.7,0.8,0.6,0.9,0.7,0.4,0.8,0.8
2691,500,0.7,0.05,0.1,0.25,0.1,0.2,0.15,0.15,0.8,0.7,0.6,0.9,0.6,0.7,0.8,0.9
2692,500,0.4,0.15,0.05,0.2,0.05,0.25,0.15,0.15,0.6,0.3,0.4,0.8,0.3,0.7,0.6,0.7
2693,500,0.4,0.05,0.15,0.12,0.08,0.35,0.1,0.15,0.8,0.9,0.7,0.9,0.6,0.4,0.7,0.9
2694,500,0.35,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.65,0.3,0.8,0.9,0.4,0.3,0.5,0.6
2695,500,0.15,0.15,0.05,0.25,0.1,0.2,0.15,0.1,0.7,0.8,0.6,0.9,0.8,0.6,0.5,0.9
2696,500,0.65,0.1,0.15,0.2,0.05,0.25,0.1,0.15,0.45,0.3,0.6,0.8,0.7,0.5,0.4,0.8
2697,500,0.45,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.3,0.4,0.6,0.8,0.7,0.5,0.3,0.4
2698,500,0.7,0.1,0.05,0.25,0.05,0.3,0.15,0.1,0.6,0.8,0.7,0.9,0.6,0.4,0.7,0.8
2699,114,0.4,0.05,0.15,0.2,0.05,0.35,0.1,0.1,0.6,0.5,0.7,0.8,0.6,0.4,0.3,0.7
2700,500,0.4,0.05,0.1,0.2,0.15,0.2,0.2,0.1,0.3,0.4,0.7,0.8,0.6,0.4,0.3,0.5
2701,500,0.6,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.4,0.7,0.8,0.9,0.6,0.3,0.5,0.4
2702,500,0.3,0.1,0.15,0.25,0.05,0.2,0.15,0.1,0.6,0.7,0.4,0.8,0.7,0.8,0.7,0.6
2703,500,0.3,0.1,0.05,0.2,0.05,0.2,0.3,0.1,0.6,0.7,0.8,0.9,0.7,0.4,0.6,0.8
2704,500,0.15,0.4,0.25,0.1,0.0,0.1,0.05,0.1,0.6,0.8,0.7,0.9,0.8,0.4,0.3,0.7
2705,500,0.15,0.05,0.08,0.12,0.05,0.25,0.2,0.25,0.65,0.7,0.4,0.9,0.3,0.7,0.6,0.5
2706,500,0.6,0.1,0.15,0.2,0.05,0.3,0.1,0.1,0.4,0.7,0.8,0.9,0.3,0.7,0.4,0.6
2707,500,0.4,0.05,0.15,0.2,0.05,0.3,0.1,0.15,0.4,0.6,0.7,0.8,0.8,0.5,0.4,0.6
2708,500,0.3,0.05,0.1,0.15,0.0,0.4,0.2,0.1,0.7,0.8,0.6,0.9,0.4,0.3,0.6,0.9
2709,500,0.3,0.15,0.2,0.1,0.05,0.25,0.15,0.1,0.7,0.8,0.6,0.5,0.4,0.7,0.6,0.8
2710,500,0.4,0.05,0.1,0.35,0.1,0.2,0.15,0.05,0.7,0.8,0.5,0.9,0.3,0.8,0.8,0.7
2711,500,0.4,0.05,0.1,0.35,0.15,0.2,0.1,0.05,0.6,0.8,0.7,0.9,0.3,0.7,0.6,0.8
2712,500,0.15,0.05,0.02,0.25,0.08,0.35,0.15,0.1,0.65,0.85,0.75,0.9,0.4,0.35,0.6,0.75
2713,500,0.3,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.7,0.8,0.9,0.9,0.3,0.4,0.6,0.7
2714,500,0.6,0.05,0.05,0.15,0.1,0.2,0.25,0.2,0.4,0.7,0.5,0.3,0.6,0.7,0.4,0.5
2715,500,0.85,0.1,0.15,0.2,0.05,0.3,0.1,0.1,0.7,0.8,0.9,0.95,0.3,0.6,0.7,0.9
2716,500,0.3,0.05,0.1,0.15,0.1,0.2,0.25,0.15,0.7,0.8,0.6,0.9,0.4,0.7,0.6,0.8
2717,500,0.4,0.25,0.15,0.2,0.05,0.2,0.05,0.1,0.6,0.4,0.3,0.8,0.7,0.8,0.6,0.7
2718,500,0.3,0.1,0.15,0.15,0.05,0.2,0.15,0.2,0.4,0.6,0.7,0.9,0.6,0.4,0.5,0.7
2719,500,0.4,0.15,0.2,0.25,0.05,0.15,0.1,0.1,0.3,0.6,0.4,0.8,0.7,0.6,0.4,0.5
2720,500,0.4,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.6,0.4,0.8,0.9,0.7,0.4,0.6,0.5
2721,500,0.7,0.05,0.15,0.25,0.05,0.2,0.1,0.2,0.6,0.3,0.8,0.9,0.7,0.4,0.8,0.7
2722,500,0.3,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.6,0.4,0.8,0.9,0.7,0.3,0.5,0.6
2723,500,0.2,0.05,0.05,0.1,0.15,0.2,0.25,0.2,0.4,0.3,0.8,0.9,0.7,0.3,0.4,0.6
2724,500,0.4,0.3,0.1,0.15,0.05,0.15,0.15,0.1,0.6,0.8,0.7,0.9,0.8,0.6,0.7,0.8
2725,500,0.4,0.05,0.15,0.1,0.05,0.3,0.2,0.15,0.4,0.7,0.6,0.8,0.6,0.5,0.4,0.7
2726,500,0.3,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.7,0.6,0.5,0.9,0.4,0.7,0.6,0.8
2727,500,0.4,0.1,0.15,0.2,0.05,0.2,0.2,0.1,0.3,0.7,0.6,0.8,0.3,0.5,0.4,0.6
2728,500,0.3,0.05,0.08,0.22,0.12,0.25,0.13,0.15,0.6,0.4,0.7,0.9,0.3,0.6,0.4,0.5
2729,500,0.35,0.05,0.15,0.12,0.08,0.25,0.2,0.15,0.4,0.7,0.6,0.8,0.65,0.45,0.55,0.7
2730,500,0.4,0.1,0.15,0.2,0.05,0.3,0.1,0.1,0.6,0.7,0.4,0.8,0.6,0.7,0.4,0.5
2731,500,0.1,0.3,0.1,0.15,0.05,0.2,0.1,0.1,0.7,0.8,0.6,0.9,0.8,0.4,0.5,0.9
2732,500,0.3,0.1,0.05,0.15,0.2,0.1,0.2,0.2,0.7,0.8,0.6,0.9,0.8,0.6,0.7,0.9
2733,500,0.4,0.05,0.1,0.15,0.05,0.25,0.2,0.2,0.6,0.7,0.8,0.9,0.4,0.6,0.7,0.5
2734,500,0.75,0.02,0.01,0.15,0.05,0.25,0.27,0.25,0.85,0.9,0.95,0.4,0.3,0.2,0.8,0.7
2735,500,0.4,0.3,0.2,0.1,0.05,0.15,0.15,0.05,0.4,0.7,0.6,0.8,0.7,0.4,0.3,0.5
2736,500,0.4,0.05,0.05,0.15,0.1,0.25,0.25,0.15,0.6,0.3,0.8,0.9,0.7,0.3,0.4,0.6
2737,500,0.4,0.2,0.1,0.15,0.05,0.2,0.15,0.15,0.6,0.7,0.8,0.9,0.8,0.4,0.6,0.7
2738,500,0.3,0.1,0.05,0.15,0.1,0.2,0.2,0.2,0.6,0.7,0.5,0.8,0.7,0.6,0.5,0.8
2739,500,0.4,0.05,0.15,0.25,0.05,0.3,0.1,0.1,0.7,0.8,0.6,0.9,0.7,0.8,0.6,0.9
2740,500,0.3,0.05,0.1,0.15,0.1,0.3,0.2,0.1,0.4,0.6,0.7,0.9,0.6,0.7,0.5,0.4
2741,500,0.3,0.05,0.08,0.25,0.07,0.28,0.12,0.15,0.75,0.85,0.8,0.9,0.2,0.4,0.7,0.6
2742,500,0.3,0.05,0.1,0.15,0.1,0.2,0.3,0.1,0.6,0.4,0.8,0.9,0.4,0.3,0.2,0.5
2743,500,0.2,0.05,0.1,0.1,0.05,0.2,0.3,0.2,0.4,0.6,0.7,0.9,0.6,0.4,0.3,0.4
2744,500,0.3,0.05,0.08,0.12,0.03,0.45,0.15,0.12,0.7,0.9,0.8,0.4,0.6,0.4,0.3,0.8
2745,500,0.3,0.1,0.15,0.2,0.1,0.2,0.15,0.1,0.4,0.6,0.5,0.8,0.7,0.6,0.4,0.6
2746,500,0.2,0.1,0.05,0.15,0.1,0.25,0.2,0.15,0.4,0.5,0.6,0.8,0.7,0.5,0.3,0.4
2747,500,0.4,0.05,0.02,0.25,0.28,0.2,0.12,0.08,0.85,0.9,0.7,0.8,0.3,0.6,0.8,0.7
2748,500,0.2,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.6,0.8,0.7,0.9,0.3,0.4,0.3,0.7
2749,500,0.75,0.05,0.1,0.25,0.05,0.3,0.1,0.15,0.8,0.7,0.6,0.9,0.4,0.8,0.9,0.85
2750,500,0.4,0.3,0.1,0.25,0.05,0.15,0.1,0.05,0.4,0.7,0.5,0.8,0.6,0.7,0.3,0.5
2751,500,0.3,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.65,0.7,0.8,0.9,0.7,0.3,0.5,0.8
2752,500,0.4,0.3,0.2,0.05,0.05,0.1,0.15,0.15,0.6,0.8,0.7,0.9,0.6,0.7,0.5,0.8
2753,500,0.7,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.8,0.7,0.6,0.9,0.4,0.7,0.8,0.6
2754,500,0.1,0.3,0.2,0.15,0.15,0.1,0.05,0.05,0.4,0.2,0.8,0.9,0.7,0.3,0.6,0.5
2755,500,0.65,0.05,0.15,0.25,0.1,0.2,0.15,0.1,0.6,0.7,0.4,0.8,0.4,0.7,0.8,0.9
2756,500,0.4,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.3,0.6,0.4,0.8,0.7,0.8,0.4,0.6
2757,197,0.15,0.4,0.2,0.1,0.1,0.1,0.0,0.1,0.6,0.3,0.4,0.7,0.8,0.4,0.3,0.5
2758,500,0.3,0.05,0.1,0.4,0.15,0.15,0.1,0.05,0.7,0.4,0.6,0.9,0.3,0.7,0.8,0.6
2759,500,0.7,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.6,0.8,0.7,0.9,0.8,0.6,0.4,0.7
2760,500,0.2,0.05,0.02,0.35,0.15,0.18,0.15,0.1,0.6,0.7,0.8,0.9,0.4,0.6,0.8,0.7
